text,start_pos,end_pos,entity_type,release_date,release_url
made,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
was,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
sentenced,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
ordered,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
forfeit,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
pleaded,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
distribute,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
controlled,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
admitted,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
conspired,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
distribute,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
controlled,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
including,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
controlled,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
was,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
investigated,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
prosecuting,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
leads,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
focus,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
prevent,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
deter,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
enforce,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
maintains,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
operating,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
has,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
charged,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
have,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
billed,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
working,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
taking,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
increase,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
decrease,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
marks,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
Learn,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinic-sentenced-prison-drug-diversion-scheme
National Comprehensive Opioid,9,38,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Stimulant,40,49,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Substance Abuse Program,55,78,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
COSSAP) Forum,80,93,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
the Hyatt Regency Crystal City,132,162,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Arlington,166,175,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Virginia,177,185,GPE,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Americas,440,448,LOC,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Katharine T. Sullivan,616,637,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Office of Justice Programs,639,665,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Michael Costigan,1069,1085,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
COSSAP Forum,1101,1113,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
COSSAP,1178,1184,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
the Comprehensive Opioid Abuse Program,1204,1242,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
the Department of Justices Bureau of Justice Assistance,1257,1312,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
the Trump Administration,1589,1613,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Congress,1618,1626,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
BJA,1795,1798,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
The Office of Justice Programs,2351,2381,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
Katharine T. Sullivan,2439,2460,PERSON,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
the Department of Justice,2823,2848,ORG,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
takes,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
ranging,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
attending,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
learn,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
share,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
based,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
turning,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
has,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
claimed,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
torn,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
stolen,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
said,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
beginning,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
see,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
doing,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
making,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
has,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
go,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
battling,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
said,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
believe,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
will,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
help,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
based,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
known,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
funded,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
provide,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
develop,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
implement,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
support,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
impacted,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
declined,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
working,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
address,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
related,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
has,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
awarded,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
is,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
designed,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
allow,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
address,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
respond,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
emerging,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
enabling,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
respond,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
are,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
helping,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
expand,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
develop,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
introduce,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
assisted,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
learn,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
visit,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
directed,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
provides,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
improve,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
prevent,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
reduce,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
assist,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
enhance,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
strengthening,,,VERB,2020-03-10T00:00:00-04:00,https://www.justice.gov/opa/pr/national-comprehensive-opioid-stimulant-and-substance-abuse-program-forum-presents-ways
